Date,611/94
1990-10-04 00:00:00,20.0
1990-10-05 00:00:00,37.75
1990-11-06 00:00:00,37.84
1990-12-06 00:00:00,37.34
1990-12-07 00:00:00,19.08
1991-01-07 00:00:00,18.5
1991-02-05 00:00:00,18.3
1991-03-05 00:00:00,17.15
1991-04-05 00:00:00,16.07
1991-05-06 00:00:00,16.65
1991-06-05 00:00:00,17.87
1991-07-04 00:00:00,19.45
1991-08-12 00:00:00,21.45
1991-09-05 00:00:00,22.64
1991-10-04 00:00:00,23.1
1991-11-04 00:00:00,23.1
1991-12-06 00:00:00,22.5
1992-01-07 00:00:00,21.45
1992-02-07 00:00:00,21.45
1992-03-09 00:00:00,21.7
1992-04-03 00:00:00,22.4
1992-05-07 00:00:00,22.58
1992-06-04 00:00:00,24.3
1992-07-03 00:00:00,24.82
1992-08-05 00:00:00,28.0
1992-09-04 00:00:00,30.49
1992-10-04 00:00:00,31.4
1992-11-05 00:00:00,31.8
1992-12-04 00:00:00,31.95
1993-01-06 00:00:00,24.8
1993-02-04 00:00:00,24.08
1993-03-04 00:00:00,23.95
1993-04-06 00:00:00,23.75
1993-05-06 00:00:00,22.83
1993-06-04 00:00:00,23.2
1993-07-05 00:00:00,24.53
1993-08-05 00:00:00,26.85
1993-09-08 00:00:00,29.38
1993-10-04 00:00:00,30.97
1993-11-05 00:00:00,30.2
1993-12-04 00:00:00,27.52
1994-01-06 00:00:00,25.9
1994-02-07 00:00:00,25.44
1994-03-04 00:00:00,25.08
1994-04-07 00:00:00,25.58
1994-05-05 00:00:00,26.7
1994-07-06 00:00:00,30.13
1994-08-12 00:00:00,34.35
1994-09-08 00:00:00,36.34
1994-10-06 00:00:00,37.75
1994-11-07 00:00:00,37.84
1994-12-07 00:00:00,37.34
1995-01-06 00:00:00,36.5
1995-02-06 00:00:00,35.73
1995-03-07 00:00:00,35.6
1995-04-12 00:00:00,37.05
1995-05-04 00:00:00,37.96
1995-06-08 00:00:00,39.78
1995-07-06 00:00:00,41.2
1995-08-08 00:00:00,42.9
1995-10-04 00:00:00,45.1
1995-11-09 00:00:00,45.15
1995-12-07 00:00:00,43.45
1996-01-09 00:00:00,31.4
1996-02-02 00:00:00,20.21
1996-03-11 00:00:00,18.8
1996-04-08 00:00:00,13.75
1996-06-11 00:00:00,8.56
1996-07-03 00:00:00,6.83
1996-08-06 00:00:00,20.28
1996-09-05 00:00:00,22.2
1996-10-04 00:00:00,22.75
1996-11-07 00:00:00,23.09
1996-12-06 00:00:00,22.8
1997-01-07 00:00:00,17.54
1997-02-05 00:00:00,14.75
1997-03-06 00:00:00,15.2
1997-04-03 00:00:00,16.57
1997-05-06 00:00:00,17.62
1997-06-04 00:00:00,18.73
1997-07-09 00:00:00,20.57
1997-08-07 00:00:00,22.0
1997-09-05 00:00:00,23.5
1997-10-07 00:00:00,23.95
1997-12-04 00:00:00,22.62
1998-01-07 00:00:00,19.7
1998-02-04 00:00:00,17.72
1998-03-04 00:00:00,14.4
1998-04-03 00:00:00,15.12
1998-05-08 00:00:00,16.3
1998-06-04 00:00:00,17.06
1998-07-06 00:00:00,18.8
1998-09-14 00:00:00,23.35
1998-10-07 00:00:00,23.22
1998-10-10 00:00:00,21.9
1998-11-02 00:00:00,23.44
1998-12-02 00:00:00,22.56
1999-01-11 00:00:00,21.1
1999-02-02 00:00:00,20.53
1999-03-05 00:00:00,20.47
1999-04-05 00:00:00,20.19
1999-05-05 00:00:00,20.8
1999-06-08 00:00:00,21.84
1999-07-05 00:00:00,22.95
1999-08-05 00:00:00,23.84
1999-09-03 00:00:00,24.17
1999-10-11 00:00:00,24.8
1999-11-04 00:00:00,23.93
1999-12-06 00:00:00,23.58
2000-01-05 00:00:00,23.11
2000-02-07 00:00:00,22.67
2000-03-02 00:00:00,22.85
2000-04-06 00:00:00,23.07
2000-05-04 00:00:00,22.55
2000-06-05 00:00:00,22.43
2000-07-04 00:00:00,23.6
2000-08-02 00:00:00,24.79
2000-09-09 00:00:00,25.83
2000-10-09 00:00:00,26.2
2000-11-08 00:00:00,26.4
