Date,597/364
1996-09-13,14.0
1996-10-03,15.88
1996-11-05,17.2
1996-12-09,17.97
1997-01-08,15.8
1997-02-05,5.52
1997-03-06,5.6
1997-04-03,8.08
1997-05-02,11.85
1997-06-03,13.34
1997-07-14,16.76
1997-10-08,20.73
1997-11-06,20.18
1997-12-05,18.85
1998-01-09,8.49
1998-02-03,4.4
1998-03-04,0.54
1998-04-01,2.34
1998-05-11,6.76
1998-06-04,9.02
1998-07-06,13.1
1998-08-01,17.5
1998-09-08,17.62
1998-10-06,18.85
1998-11-03,19.45
1998-12-09,19.55
1999-01-11,20.17
1999-02-04,20.14
1999-03-08,20.57
1999-04-05,20.4
1999-05-07,20.75
1999-06-01,21.35
1999-07-02,24.56
1999-08-03,27.14
1999-09-10,27.7
1999-10-13,27.3
1999-11-05,24.84
1999-12-03,24.0
2000-01-07,22.82
2000-02-04,22.3
2000-03-06,21.9
2000-04-02,22.0
2000-05-05,20.53
2000-06-12,20.5
2000-07-10,21.53
2000-07-31,22.7
2000-09-08,23.95
2000-11-06,23.63
2000-12-11,23.0
2001-01-08,19.22
2001-02-02,15.0
2001-03-06,7.76
2001-04-06,3.91
2001-05-10,5.88
2001-06-12,10.0
2001-07-05,12.7
2001-08-10,17.0
2001-09-13,18.45
2001-10-03,18.83
2001-11-07,18.72
2001-12-06,18.85
2002-01-09,17.0
2002-02-06,16.35
2002-03-06,15.9
2002-04-09,15.5
2002-05-09,15.26
2002-06-11,15.48
2002-07-12,16.3
2002-08-14,20.44
2002-10-08,19.2
2002-11-11,18.83
2002-12-11,17.47
2003-01-03,12.2
2003-02-05,8.0
2003-03-06,6.42
2003-04-10,6.49
2003-05-02,7.84
2003-07-03,13.17
2003-08-07,14.2
2003-09-03,17.92
2003-10-03,18.94
2003-11-07,18.73
2003-12-05,18.22
2004-01-06,16.48
2004-02-03,16.42
2004-03-03,16.63
2004-04-13,16.7
2004-05-06,17.16
2004-06-07,18.56
2004-07-02,20.12
2004-08-05,22.32
2004-09-13,22.96
2004-10-07,23.4
2004-11-11,21.9
2004-11-28,21.51
2005-01-03,21.5
2005-02-03,21.25
2005-03-02,21.25
2005-04-01,21.44
2005-05-02,22.58
2005-06-02,23.71
2005-07-07,25.72
2005-08-19,27.1
2005-09-08,27.76
2005-10-12,27.92
2005-12-06,23.63
2006-01-06,21.97
2006-02-03,20.66
2006-03-09,18.8
2006-04-04,17.12
2006-06-02,18.0
2006-07-05,18.6
2006-08-11,22.0
2006-09-14,22.28
2006-10-09,22.02
2006-11-03,20.96
2006-12-04,19.25
2007-01-10,17.21
2007-02-12,17.22
2007-04-13,18.32
2007-05-11,19.1
2007-06-01,20.43
2007-08-07,23.83
2007-09-13,24.06
2007-10-11,22.93
2007-11-08,22.54
2007-12-10,21.98
2008-01-02,21.0
2008-02-04,19.98
2008-03-03,19.46
2008-04-09,19.3
2008-05-12,17.21
2008-06-11,17.0
2008-07-10,19.02
2008-08-14,21.03
2008-10-06,21.07
2008-11-07,20.24
2008-11-28,20.14
2009-01-15,19.7
2009-02-11,18.18
2009-03-13,17.34
2009-04-13,17.48
2009-05-14,18.18
2009-06-16,19.23
2009-07-14,21.48
2009-08-11,24.02
2009-09-11,24.96
2009-10-07,24.38
2009-11-12,22.53
2009-12-10,21.98
2010-01-15,19.0
2010-02-05,8.1
2010-03-10,0.6
2010-04-09,0.0
2010-05-07,0.0
2010-06-11,3.86
2010-07-07,7.0
2010-08-10,11.57
2010-09-14,14.73
2010-10-06,18.6
2010-11-08,17.52
2010-12-17,17.23
2011-01-12,15.16
2011-02-10,13.0
2011-03-09,12.32
