Date,401/36
2004-03-23,6.8
2005-01-13,10.23
2005-02-17,10.78
2005-03-16,11.61
2005-04-08,11.15
2006-01-30,13.21
2006-03-29,12.2
2006-05-15,14.32
2006-06-28,17.37
2006-07-28,23.2
2006-09-28,15.58
2006-10-26,14.76
2006-12-19,11.43
2007-01-29,10.65
2007-03-29,9.05
2007-06-29,11.95
2009-12-03,18.54
2010-01-22,16.49
2010-10-26,15.28
2010-11-24,11.68
2011-01-26,8.72
2011-02-23,8.71
2011-03-23,7.7
2011-05-05,7.97
2011-05-26,8.1
2011-07-01,12.16
2011-07-28,14.43
2011-08-25,16.92
2011-09-29,15.68
2011-11-03,14.84
2011-12-05,11.59
2012-01-26,12.56
2012-03-29,18.79
2012-04-26,22.47
2012-05-31,19.92
2012-06-28,29.53
2012-08-01,32.02
2012-09-27,26.99
2012-10-25,23.64
2012-11-29,18.27
2012-12-27,17.04
2013-01-30,16.3
2013-04-05,11.41
2013-08-02,15.32
2013-09-19,17.34
2013-10-17,19.09
2013-11-14,14.79
2013-12-18,14.88
2014-01-21,11.79
2014-03-11,8.15
2014-10-09,14.47
2014-11-11,12.44
2014-12-12,10.68
2015-01-07,10.04
2015-03-25,9.53
2015-05-19,13.07
2015-06-18,12.51
2015-08-06,16.67
2015-09-17,16.24
2015-11-13,14.46
2016-01-14,13.92
2016-02-24,13.06
2016-04-13,12.69
2016-05-17,12.51
2016-06-23,14.88
2016-08-10,25.0
2016-09-15,25.67
2016-10-25,16.8
2016-12-06,15.16
2017-01-05,14.52
2017-02-09,14.06
2017-03-09,12.78
2017-03-30,12.67
2017-04-26,14.34
2017-05-29,18.03
2017-06-20,23.72
2017-07-20,25.34
2017-08-24,28.38
2017-09-18,27.77
2017-10-27,28.94
2017-11-20,26.42
2017-12-20,21.7
2018-01-19,17.68
2018-02-23,24.65
2018-03-19,17.41
2018-04-23,15.86
2018-05-25,18.59
2018-07-23,30.3
2018-08-20,30.55
2018-09-24,29.56
2018-10-26,17.73
2018-11-23,17.73
2018-12-17,16.87
2019-01-21,16.04
2019-02-19,15.87
2019-03-22,26.53
2019-04-23,25.89
2019-05-24,28.65
2019-06-14,30.74
2019-07-18,31.49
2019-08-23,31.15
2019-09-20,30.52
2019-10-28,26.57
2019-11-19,23.24
2019-12-17,20.21
2020-01-20,18.55
2020-02-17,17.81
2020-04-21,17.31
2020-05-26,18.57
2020-06-24,28.91
2020-07-21,31.92
2020-08-18,28.68
2020-09-24,25.24
2020-10-26,23.22
2020-11-19,20.69
2020-12-17,19.04
2021-02-18,17.12
2021-03-18,16.04
2021-04-21,16.05
2021-05-20,16.39
2021-06-25,20.19
2021-07-27,28.28
2021-08-25,30.13
2021-09-29,22.23
2021-10-28,21.55
2021-11-25,23.71
2022-01-17,16.2
2022-02-21,17.0
2022-03-24,15.76
2022-04-27,17.68
2022-05-31,29.2
2022-06-28,31.02
2022-07-31,33.67
2022-08-29,33.27
2022-09-21,27.1
2022-10-27,26.0
2023-01-13,16.41
2023-02-16,22.52
2023-03-17,18.77
2023-04-18,29.17
2023-05-23,29.15
2023-06-23,32.54
2023-07-20,33.41
2023-08-22,34.47
2023-09-20,29.84
2023-11-22,21.9
2024-03-14,11.31
2024-04-18,9.43
2024-09-19,25.13
2024-12-13,15.64
2025-01-17,14.87
